item - centres - c - cp,item - centres - c - com,item - centres - c - pob,item - id,item - dep,item - nom,item - resp,item - iddep
8206,Vallès Occidental,Sabadell,18624,Departament d'Interior,Comissaria Superior de Coordinació Central,null,13760
8206,Vallès Occidental,Sabadell,6699,Departament d'Interior,Comissaria Superior de Coordinació Territorial,null,13760
17820,Pla de l'Estany,Banyoles,8402,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Banyoles,null,13760
8210,Vallès Occidental,Barberà del Vallès,15603,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Barberà del Vallès,null,13760
8140,Vallès Oriental,Caldes de Montbui,12521,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Caldes de Montbui,null,13760
43850,Baix Camp,Cambrils,16854,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Cambrils,null,13760
8860,Baix Llobregat,Castelldefels,16262,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Castelldefels,null,13760
null,Priorat,Falset,16855,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Falset,null,13760
43400,Conca de Barberà,Montblanc,16853,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Montblanc,null,13760
8110,Vallès Occidental,Montcada i Reixac,15604,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Montcada i Reixac,null,13760
43740,Ribera d'Ebre,Móra d'Ebre,16850,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Móra d'Ebre,null,13760
8397,Maresme,Pineda de Mar,13309,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Pineda de Mar,null,13760
8291,Vallès Occidental,Ripollet,15605,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Ripollet,null,13760
43840,Tarragonès,Salou,16851,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Salou - Vilaseca,null,13760
17190,Gironès,Salt,13388,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Salt,null,13760
8930,Barcelonès,Sant Adrià de Besòs,13430,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Sant Adrià de Besòs,null,13760
8470,Vallès Oriental,Sant Celoni,12520,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Sant Celoni,null,13760
8174,Vallès Occidental,Sant Cugat del Vallès,15606,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Sant Cugat del Vallès,null,13760
8770,Alt Penedès,Sant Sadurní d'Anoia,16267,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Sant Sadurní d'Anoia,null,13760
8620,Baix Llobregat,Sant Vicenç dels Horts,16258,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Sant Vicenç dels Horts,null,13760
8130,Vallès Occidental,Santa Perpètua de Mogoda,15607,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Santa Perpetua de Mogoda,null,13760
8870,Garraf,Sitges,16265,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Sitges,null,13760
25560,Pallars Sobirà,Sort,10676,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Sort,null,13760
8840,Baix Llobregat,Viladecans,16263,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a Viladecans,null,13760
17700,Alt Empordà,La Jonquera,19000,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra a la Jonquera,null,13760
25520,Alta Ribagorça,El Pont de Suert,10677,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat - Mossos d'Esquadra al Pont de Suert,null,13760
25230,Pla d'Urgell,Mollerussa,10613,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat-Mossos d'Esquadra a Mollerussa,null,13760
25740,Noguera,Ponts,10622,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat-Mossos d'Esquadra a Ponts,null,13760
25300,Urgell,Tàrrega,9943,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat-Mossos d'Esquadra a Tàrrega,null,13760
25400,Garrigues,Les Borges Blanques,10611,Departament d'Interior,Comissaria de Districte de la Policia de la Generalitat-Mossos d'Esquadra a les Borges Blanques,null,13760
17220,Baix Empordà,Sant Feliu de Guíxols,6738,Departament d'Interior,Comissaria de la Policia de la  Generalitat - Mossos d'Esquadra a Sant Feliu de Guíxols,null,13760
8600,Berguedà,Berga,1096,Departament d'Interior,Comissaria de la Policia de la Generalitat -  Mossos d'Esquadra a Berga,null,13760
8500,Osona,Vic,1093,Departament d'Interior,Comissaria de la Policia de la Generalitat -  Mossos d'Esquadra a Vic,null,13760
43870,Montsià,Amposta,1094,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Amposta,null,13760
8350,Maresme,Arenys de Mar,13400,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Arenys de Mar,null,13760
8915,Barcelonès,Badalona,13797,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Badalona,null,13760
17300,Selva,Blanes,1099,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Blanes,null,13760
8290,Vallès Occidental,Cerdanyola del Vallès,15596,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Cerdanyola,null,13760
8001,Barcelonès,Barcelona,15091,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Ciutat Vella,null,13760
8940,Baix Llobregat,Cornellà de Llobregat,15600,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Cornellà de Llobregat,null,13760
8950,Baix Llobregat,Esplugues de Llobregat,15601,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Esplugues de Llobregat,null,13760
17600,Alt Empordà,Figueres,6730,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Figueres,null,13760
43780,Terra Alta,Gandesa,16856,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Gandesa,null,13760
17004,Gironès,Girona,1089,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Girona,null,13760
8402,Vallès Oriental,Granollers,12519,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Granollers,null,13760
8023,Barcelonès,Barcelona,15088,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Gràcia,null,13760
8025,Barcelonès,Barcelona,15595,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Horta-Guinardó,null,13760
8700,Anoia,Igualada,14210,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Igualada,null,13760
17100,Baix Empordà,La Bisbal d'Empordà,6737,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a La Bisbal d'Empordà,null,13760
8029,Barcelonès,Barcelona,15628,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Les Corts,null,13760
25008,Segrià,Lleida,1090,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Lleida,null,13760
8243,Bages,Manresa,12518,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Manresa,null,13760
8760,Baix Llobregat,Martorell,16259,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Martorell,null,13760
8301,Maresme,Mataró,13411,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Mataró,null,13760
8100,Vallès Oriental,Mollet del Vallès,13412,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Mollet de Vallès,null,13760
8042,Barcelonès,Barcelona,15089,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Nou Barris,null,13760
17800,Garrotxa,Olot,6736,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Olot,null,13760
8330,Maresme,Premià de Mar,13798,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Premià de Mar,null,13760
17520,Cerdanya,Puigcerdà,6735,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Puigcerdà,null,13760
43206,Baix Camp,Reus,16858,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Reus,null,13760
17500,Ripollès,Ripoll,1100,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Ripoll,null,13760
17480,Alt Empordà,Roses,6732,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Roses,null,13760
8191,Vallès Occidental,Rubí,15597,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Rubí,null,13760
8207,Vallès Occidental,Sabadell,15598,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Sabadell,null,13760
8030,Barcelonès,Barcelona,15086,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Sant Andreu,null,13760
8830,Baix Llobregat,Sant Boi de Llobregat,16260,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Sant Boi de Llobregat,null,13760
8980,Baix Llobregat,Sant Feliu de Llobregat,17266,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Sant Feliu de Llobregat,null,13760
8018,Barcelonès,Barcelona,15629,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Sant Martí,null,13760
17430,Selva,Santa Coloma de Farners,1098,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Santa Coloma de Farners,null,13760
8924,Barcelonès,Santa Coloma de Gramenet,13796,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Santa Coloma de Gramenet,null,13760
8038,Barcelonès,Barcelona,15087,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Sants-Montjuïc,null,13760
8017,Barcelonès,Barcelona,15090,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Sarrià-Sant Gervasi,null,13760
25280,Solsonès,Solsona,9958,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Solsona,null,13760
43006,Tarragonès,Tarragona,1091,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Tarragona,null,13760
8226,Vallès Occidental,Terrassa,15599,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Terrassa,null,13760
43500,Baix Ebre,Tortosa,1097,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Tortosa,null,13760
25620,Pallars Jussà,Tremp,10623,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Tremp,null,13760
43800,Alt Camp,Valls,16857,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Valls,null,13760
25530,Vielha e Mijaran,Vielha,1095,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Vielha e Mijaran,null,13760
8720,Alt Penedès,Vilafranca del Penedès,16266,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Vilafranca del Penedès,null,13760
8800,Garraf,Vilanova i la Geltrú,16264,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a Vilanova i la Geltrú,null,13760
8015,Barcelonès,Barcelona,17265,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a l'Eixample,null,13760
8905,Barcelonès,L'Hospitalet de Llobregat,13799,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a l'Hospitalet de Llobregat,null,13760
25700,Alt Urgell,La Seu d'Urgell,9941,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra a la Seu d'Urgell,null,13760
8820,Baix Llobregat,El Prat de Llobregat,15602,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra al Prat de Llobregat,null,13760
43700,Baix Penedès,El Vendrell,16268,Departament d'Interior,Comissaria de la Policia de la Generalitat - Mossos d'Esquadra al Vendrell,null,13760
25600,Noguera,Balaguer,10624,Departament d'Interior,Comissaria de la Policia de la Generalitat-Mossos d'Esquadra a Balaguer,null,13760
25200,Segarra,Cervera,9942,Departament d'Interior,Comissaria de la Policia de la Generalitat-Mossos d'Esquadra a Cervera,null,13760
8002,Barcelonès,Barcelona,19083,Departament de la Presidència,Comissariat del Tricentenari,Miquel Calçada i Olivella,6
,,,15822,Departament de Justícia,Comissions d'Assistència Jurídica Gratuïta,null,13757
8003,Barcelonès,Barcelona,9955,Parlament de Catalunya,Comissions del Parlament de Catalunya,null,6581
8028,Barcelonès,Barcelona,3283,Departament de Salut,Comissió Assessora Sobre Tècniques de Reproducció Humana Assistida a Catalunya,null,2803
8028,Barcelonès,Barcelona,11142,Departament de Salut,Comissió Assessora Sobre l'Obtenció i el Trasplantament de Teixit Ossi,Santiago Suso Vergara,2803
8028,Barcelonès,Barcelona,3290,Departament de Salut,"Comissió Assessora Sobre la Promoció, Donació i Transfusió Sanguínia",Joan Profitós i Tuset,2803
8008,Barcelonès,Barcelona,8827,Departament de la Presidència,Comissió Assessora Sobre la Publicitat Institucional,null,6
8028,Barcelonès,Barcelona,12823,Departament de Salut,Comissió Assessora Sobre la Publicitat de Productes Sanitaris Adreçada al Públic,null,2803
8028,Barcelonès,Barcelona,3280,Departament de Salut,Comissió Assessora d'Entitats d'Assegurança Lliure d'Assistència Mèdico-Farmacèutica,null,2803
8028,Barcelonès,Barcelona,7468,Departament de Salut,Comissió Assessora d'Obtenció d'Òrgans i Teixits per a Trasplantament,Martí Manyalich,2803
8028,Barcelonès,Barcelona,9579,Departament de Salut,Comissió Assessora d'Obtenció i Trasplantament de Teixit Vascular,Lluís Massuet i Bosch,2803
8011,Barcelonès,Barcelona,9973,Departament de Cultura,Comissió Assessora de Catalogació,null,2221
8028,Barcelonès,Barcelona,3288,Departament de Salut,Comissió Assessora de Coordinació i Col·laboració en l'Aplicació de la Llei de la Higiene i el Control Alimentaris,null,2803
8028,Barcelonès,Barcelona,7469,Departament de Salut,Comissió Assessora de Trasplantament de Còrnia,Borja Corcostegui,2803
8028,Barcelonès,Barcelona,3322,Departament de Salut,Comissió Assessora de Trasplantament de Progenitors Hemopoètics,Ciril Rozman Borstnar,2803
8028,Barcelonès,Barcelona,10458,Departament de Salut,Comissió Assessora de la Prestació Ortoprotètica,Antoni Gilabert Perramon,2803
8028,Barcelonès,Barcelona,13609,Departament de Salut,Comissió Assessora del Registre de Trasplantament Cardíac de Catalunya,Rosa Deulofeu Vilarnau,2803
8028,Barcelonès,Barcelona,13610,Departament de Salut,Comissió Assessora del Registre de Trasplantament Hepàtic de Catalunya,Rosa Deulofeu Vilarnau,2803
8007,Barcelonès,Barcelona,18254,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Comissió Assessora del Sector Equí a Catalunya,null,4163
8028,Barcelonès,Barcelona,17192,Departament de Salut,Comissió Assessora en Malalties Minoritàries,Diana Altabella Arrufat,2803
8028,Barcelonès,Barcelona,13409,Departament de Salut,Comissió Assessora en Matèria d'Oxigenoteràpia Domiciliària,Francesc Brosa Llinares,2803
8028,Barcelonès,Barcelona,3281,Departament de Salut,Comissió Assessora per a l'Acreditació de Centres Hospitalaris de Malalts Aguts,null,2803
8028,Barcelonès,Barcelona,3323,Departament de Salut,Comissió Assessora per a l'Atenció Integral dels Malalts Afectats de Coagulopaties Congènites a Catalunya,null,2803
8028,Barcelonès,Barcelona,7088,Departament de Salut,Comissió Assessora per a l'Elaboració del Pla de Serveis Sanitaris de Catalunya,Esperança Martí i Salís,2803
8028,Barcelonès,Barcelona,3282,Departament de Salut,Comissió Assessora per al Tractament de la Informació Confidencial (CATIC),null,2803
8010,Barcelonès,Barcelona,15468,Departament de Governació i Relacions Institucionals,Comissió Bilateral Generalitat-Estat,Josep Antoni Duran i Lleida,655
8010,Barcelonès,Barcelona,18152,Departament de Governació i Relacions Institucionals,Comissió Bilateral d'Infraestructures,Josep Antoni Duran i Lleida,655
8009,Barcelonès,Barcelona,912,Departament d'Interior,Comissió Catalana de Trànsit i Seguretat Viària,"Ramon Espadaler i Parcerisas, conseller del Departament",13760
8010,Barcelonès,Barcelona,1547,Departament d'Economia i Coneixement,Comissió Central de Subministraments de la Generalitat de Catalunya,null,1103
8021,Barcelonès,Barcelona,1901,Departament d'Ensenyament,Comissió Consultiva dels Concerts Educatius,null,1599
8003,Barcelonès,Barcelona,18952,Departament d'Economia i Coneixement,Comissió Coordinadora de les Proves d'Accés a les Universitats de Catalunya del Consell Interuniversitari de Catalunya,null,1103
8003,Barcelonès,Barcelona,18144,Departament d'Economia i Coneixement,Comissió Dona i Ciència per al desenvolupament de les polítiques de dones en l'àmbit de l'educació superior i recerca del Consell Interuniversitari de Catalunya,null,1103
8009,Barcelonès,Barcelona,16182,Departament d'Interior,Comissió Executiva del Centre d'Atenció i Gestió de Trucades d'Urgència 112 Catalunya,null,13760
8003,Barcelonès,Barcelona,13557,Departament d'Economia i Coneixement,Comissió General de Política Universitària del Consell Interuniversitari de Catalunya,null,1103
8010,Barcelonès,Barcelona,907,Departament de Governació i Relacions Institucionals,Comissió Govern de la Generalitat-Conselh Generau d'Aran,Joana Ortega i Alemany,655
25530,Val d'Aran,Vielha e Mijaran,,,,,
8009,Barcelonès,Barcelona,18781,Departament d'Interior,Comissió Interdepartamental d'Espectacles Públics i Activitats Recreatives,Ramon Espadaler i Parcerisas,13760
8001,Barcelonès,Barcelona,5955,Departament de Benestar Social i Família,Comissió Interdepartamental d'Immigració,null,5823
8003,Barcelonès,Barcelona,17422,Departament d'Economia i Coneixement,Comissió Interdepartamental de Recerca i Innovació (CIRI),null,1103
8002,Barcelonès,Barcelona,13790,Departament de Governació i Relacions Institucionals,Comissió Interdepartamental de Relacions Govern-Parlament,Miquel Puig i Roig,655
8001,Barcelonès,Barcelona,5960,Departament de Benestar Social i Família,Comissió Interdepartamental de Suport a les Famílies,null,5823
8011,Barcelonès,Barcelona,5956,Departament d'Empresa i Ocupació,Comissió Interdepartamental de la Renda Mínima d'Inserció,null,15638
8039,Barcelonès,Barcelona,14492,Departament de Benestar Social i Família,Comissió Interdepartamental del Pla Integral del Poble Gitano,null,5823
8001,Barcelonès,Barcelona,9802,Departament de Benestar Social i Família,Comissió Interdepartamental per a la Igualtat d'Oportunitats per a les Dones,null,5823
8009,Barcelonès,Barcelona,9672,Departament d'Interior,Comissió Interdepartamental per a la Millora de la Seguretat Viària,Ramon Espadaler i Parcerisas,13760
8002,Barcelonès,Barcelona,11757,Comissió Jurídica Assessora,Comissió Jurídica Assessora,Tomàs Font i Llovet,11757
8010,Barcelonès,Barcelona,18034,Departament de Governació i Relacions Institucionals,Comissió Mixta Administració de la Generalitat de Catalunya-Àrea Metropolitana de Barcelona,Lluís Bertran i Saura,655
8028,Barcelonès,Barcelona,3268,Departament de Salut,Comissió Mixta Departament de Salut-Església Catòlica de Catalunya,null,2803
8010,Barcelonès,Barcelona,15689,Departament de Governació i Relacions Institucionals,Comissió Mixta Generalitat-Ajuntament de Barcelona,Joana Ortega i Alemany,655
8010,Barcelonès,Barcelona,15893,Departament de Governació i Relacions Institucionals,Comissió Mixta d'Afers Econòmics i Fiscals Estat-Generalitat de Catalunya,Josep Antoni Duran i Lleida,655
8010,Barcelonès,Barcelona,523,Departament de Governació i Relacions Institucionals,Comissió Mixta de Transferències Estat-Generalitat,Josep Antoni Duran i Lleida,655
8007,Barcelonès,Barcelona,15209,Departament d'Economia i Coneixement,Comissió Mixta entre la Generalitat de Catalunya i la Federació Catalana de Caixes d'Estalvis,null,1103
8002,Barcelonès,Barcelona,2722,Departament de Cultura,Comissió Nacional d'Avaluació i Tria de Documentació,null,2221
8001,Barcelonès,Barcelona,17946,Departament de Benestar Social i Família,Comissió Nacional per a una Intervenció Coordinada contra la Violència Masclista,null,5823
25528,La Vall de Boí,Boí,6464,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Comissió Permanent del Parc Nacional d'Aigüestortes i Estany de Sant Maurici,null,4163
8021,Barcelonès,Barcelona,1896,Departament d'Ensenyament,Comissió Tecnicoreguladora d'Ensenyament del Català,null,1599
8029,Barcelonès,Barcelona,4077,Departament de Territori i Sostenibilitat,Comissió Territorial d'Urbanisme de Barcelona,null,3392
17002,Gironès,Girona,4078,Departament de Territori i Sostenibilitat,Comissió Territorial d'Urbanisme de Girona,null,3392
25007,Segrià,Lleida,4079,Departament de Territori i Sostenibilitat,Comissió Territorial d'Urbanisme de Lleida,null,3392
43004,Tarragonès,Tarragona,4080,Departament de Territori i Sostenibilitat,Comissió Territorial d'Urbanisme de Tarragona,null,3392
8029,Barcelonès,Barcelona,18677,Departament de Territori i Sostenibilitat,Comissió Territorial d'Urbanisme de l'àmbit metropolità de Barcelona,null,3392
8241,Bages,Manresa,17108,Departament de Territori i Sostenibilitat,Comissió Territorial d'Urbanisme de la Catalunya Central,null,3392
25002,Segrià,Lleida,13511,Departament de Territori i Sostenibilitat,Comissió Territorial d'Urbanisme de la Val d'Aran,null,3392
43500,Baix Ebre,Tortosa,13510,Departament de Territori i Sostenibilitat,Comissió Territorial d'Urbanisme de les Terres de l'Ebre,null,3392
8004,Barcelonès,Barcelona,4945,Departament d'Empresa i Ocupació,Comissió Territorial de Seguiment d'Eleccions Sindicals a Barcelona,null,15638
17003,Gironès,Girona,4946,Departament d'Empresa i Ocupació,Comissió Territorial de Seguiment d'Eleccions Sindicals a Girona,null,15638
25007,Segrià,Lleida,4947,Departament d'Empresa i Ocupació,Comissió Territorial de Seguiment d'Eleccions Sindicals a Lleida,null,15638
43005,Tarragonès,Tarragona,4948,Departament d'Empresa i Ocupació,Comissió Territorial de Seguiment d'Eleccions Sindicals a Tarragona,null,15638
,,,16183,Departament d'Interior,Comissió Tècnica d'Atenció i Gestió de Trucades d'Urgència,null,13760
8021,Barcelonès,Barcelona,1895,Departament d'Ensenyament,Comissió Tècnica d'Educació Especial,null,1599
8017,Barcelonès,Barcelona,4520,"Departament d'Agricultura, Ramaderia, Pesca, Alimentació i Medi Natural",Comissió Tècnica d'Inspecció de Nuclis Zoològics amb Fauna Salvatge,null,4163
8001,Barcelonès,Barcelona,2724,Departament de Cultura,Comissió Tècnica de Política Lingüística,null,2221
8010,Barcelonès,Barcelona,18021,Departament de Governació i Relacions Institucionals,Comissió Tècnica de Responsables de Formació,Director/a de l'Escola d'Administració Pública de Catalunya,655
8002,Barcelonès,Barcelona,619,Departament de Governació i Relacions Institucionals,Comissió Tècnica de la Funció Pública,null,655
8950,Baix Llobregat,Esplugues de Llobregat,18789,Departament de la Presidència,Comissió contra la Violència en Espectacles Esportius,null,6
8039,Barcelonès,Barcelona,5962,Departament de Benestar Social i Família,Comissió d'Assessorament i Supervisió de les Persones Jurídiques sense Ànim de Lucre que tinguin atribuïda la Tutela de Menors o Incapacitats,null,5823
8009,Barcelonès,Barcelona,6410,Departament de Justícia,Comissió d'Assistència Jurídica Gratuïta a Barcelona,null,13757
17002,Gironès,Girona,6411,Departament de Justícia,Comissió d'Assistència Jurídica Gratuïta a Girona,null,13757
25004,Segrià,Lleida,6413,Departament de Justícia,Comissió d'Assistència Jurídica Gratuïta a Lleida,null,13757
43002,Tarragonès,Tarragona,6412,Departament de Justícia,Comissió d'Assistència Jurídica Gratuïta a Tarragona,null,13757
43500,Baix Ebre,Tortosa,13600,Departament de Justícia,Comissió d'Assistència Jurídica Gratuïta de les Terres de l'Ebre,null,13757
8028,Barcelonès,Barcelona,3287,Departament de Salut,Comissió d'Assistència Sanitària,null,2803
,,,13455,Departament d'Economia i Coneixement,Comissió d'Avaluació de la Qualitat,Josep Anton Ferré i Vidal,1103
,,,13457,Departament d'Economia i Coneixement,Comissió d'Avaluació de la Recerca,Joan Rodés i Teixidor,1103
8028,Barcelonès,Barcelona,3286,Departament de Salut,Comissió d'Educació Sanitària de la Població,null,2803
8028,Barcelonès,Barcelona,3289,Departament de Salut,Comissió d'Epidemiologia i Avaluació,null,2803
8009,Barcelonès,Barcelona,18780,Departament d'Interior,Comissió d'Espectacles Públics i d'Activitats Recreatives,Ramon Espadaler i Parcerisas,13760
,,,18146,Departament d'Economia i Coneixement,Comissió d'Estudiants,null,1103
8003,Barcelonès,Barcelona,12074,Departament d'Economia i Coneixement,Comissió d'Estudiants del Consell Interuniversitari de Catalunya,null,1103
8003,Barcelonès,Barcelona,19040,Departament de Governació i Relacions Institucionals,Comissió d'Experts per a la Reforma de l'Administració Pública i el seu Sector Públic,null,655
8029,Barcelonès,Barcelona,4074,Departament de Territori i Sostenibilitat,Comissió d'Ordenació Territorial Metropolitana de Barcelona,null,3392
8029,Barcelonès,Barcelona,4075,Departament de Territori i Sostenibilitat,Comissió d'Urbanisme de Catalunya,M. Dolors Vergés i Fernández,3392
8003,Barcelonès,Barcelona,12053,Departament d'Economia i Coneixement,Comissió d'accés i afers estudiantils del Consell Interuniversitari de Catalunya,null,1103
8011,Barcelonès,Barcelona,4936,Departament d'Empresa i Ocupació,Comissió de Catalunya de Seguiment d'Eleccions Sindicals,Antoni Pallarès i Sànchez,15638
8010,Barcelonès,Barcelona,18572,Departament de Justícia,Comissió de Codificació de Catalunya,Joan Carles Ollé Favaró,13757
8010,Barcelonès,Barcelona,18295,Departament de Governació i Relacions Institucionals,Comissió de Col·laboració Interadministrativa,null,655
8002,Barcelonès,Barcelona,17023,Departament de la Presidència,Comissió de Commemoracions,Artur Mas i Gavarró,6
8009,Barcelonès,Barcelona,10860,Departament d'Interior,Comissió de Control dels Dispositius de Videovigilància de Catalunya,null,13760
8003,Barcelonès,Barcelona,905,Departament de Governació i Relacions Institucionals,Comissió de Cooperació Local de Catalunya,Conseller/a de Governació i Relacions Institucionals,655
8002,Barcelonès,Barcelona,9991,Departament de Governació i Relacions Institucionals,Comissió de Coordinació de Prevenció de Riscos Laborals,null,655
8028,Barcelonès,Barcelona,3269,Departament de Salut,Comissió de Coordinació de Programes i Actuacions Sòcio-Sanitaris del Dept. de Salut i del Dept. de Benestar i Família,null,2803
8028,Barcelonès,Barcelona,3276,Departament de Salut,Comissió de Coordinació i de Lluita Contra les Dependències de Drogues,null,2803
8003,Barcelonès,Barcelona,904,Departament de Governació i Relacions Institucionals,Comissió de Delimitació Territorial de Catalunya,Consellera de Governació i Relacions Institucionals,655
8028,Barcelonès,Barcelona,3320,Departament de Salut,Comissió de Formació Postgraduada del Personal Sanitari,Manuel Balcells Díaz,2803
8028,Barcelonès,Barcelona,3285,Departament de Salut,Comissió de Formació Professional de Sanitaris,null,2803
8003,Barcelonès,Barcelona,12052,Departament d'Economia i Coneixement,Comissió de Gestió Universitària del Consell Interuniversitari de Catalunya,null,1103
8003,Barcelonès,Barcelona,906,Departament de Governació i Relacions Institucionals,Comissió de Govern Local de Catalunya,Consellera de Governació i Relacions Institucionals,655
8003,Barcelonès,Barcelona,12517,Departament d'Economia i Coneixement,Comissió de Personal Acadèmic del Consell Interuniversitari de Catalunya,null,1103
